formatted_date;temperature_2m_min; temperature_2m_max
2/01/1950;290,673591;297,771891
3/01/1950;290,568813;296,7969383
4/01/1950;291,0596655;295,527082
5/01/1950;290,2829853;296,1086956
6/01/1950;290,6088329;296,7128157
7/01/1950;289,7491967;296,2136822
8/01/1950;289,6634778;296,0088832
9/01/1950;289,5190467;296,906256
10/01/1950;290,4446456;297,3490107
11/01/1950;290,7191451;297,0194332
12/01/1950;289,8090672;295,1506888
13/01/1950;288,7614603;296,5959221
14/01/1950;289,0880019;296,5975018
15/01/1950;289,2721593;296,1399279
16/01/1950;289,4436865;295,7945993
17/01/1950;289,6334506;296,7516229
18/01/1950;290,1109903;296,9237031
19/01/1950;290,3034804;296,830346
20/01/1950;290,2250801;296,8407956
21/01/1950;290,7501346;295,6502193
22/01/1950;290,4391131;295,390967
23/01/1950;289,9046482;296,1693026
24/01/1950;289,2850075;296,6375132
25/01/1950;289,7121602;296,7429268
26/01/1950;288,8454483;297,0662338
27/01/1950;289,917413;296,6456873
28/01/1950;290,1079161;295,4837819
29/01/1950;289,9020878;295,242536
30/01/1950;289,6736986;295,8032011
31/01/1950;289,6403103;296,3825022
1/02/1950;289,6443434;295,6827741
2/02/1950;289,1024473;296,1832864
3/02/1950;289,9774684;296,5753644
4/02/1950;290,3016954;296,5728235
5/02/1950;290,3138768;295,7916058
6/02/1950;289,8774546;296,8285136
7/02/1950;289,8829002;296,5135396
8/02/1950;290,1259047;296,6265157
9/02/1950;289,7679832;296,253238
10/02/1950;290,2896805;296,0419239
11/02/1950;290,5083897;295,7826486
12/02/1950;290,6101654;295,5013397
13/02/1950;290,5905151;295,5843939
14/02/1950;290,7856389;295,8879239
15/02/1950;290,882405;295,8271423
16/02/1950;290,0908522;297,3476823
17/02/1950;290,7818042;297,4370335
18/02/1950;290,9875457;297,273994
19/02/1950;290,6621366;297,8149326
20/02/1950;290,6300602;297,2205929
21/02/1950;290,1020863;296,6721541
22/02/1950;289,8800309;298,5254963
23/02/1950;291,1352397;297,332698
24/02/1950;290,7637259;297,8254315
25/02/1950;290,3843055;297,7256141
26/02/1950;290,8061818;297,0468666
27/02/1950;290,7488754;296,6794296
28/02/1950;290,8722579;297,3020056
1/03/1950;290,6334604;297,4546535
2/03/1950;290,9000643;296,4938809
3/03/1950;289,6364023;297,0116969
4/03/1950;289,7056362;297,6996821
5/03/1950;290,8457569;297,4163031
6/03/1950;290,8383032;296,146176
7/03/1950;290,7804079;296,0132873
