Año;Municipio;Area Sembrada;Area Cosechada;Produccion (ton);Rendimiento (ha/ton)
2007;ARAUCA;537,00;485,00;315,00;0,65
2007;ARAUQUITA;5.200,00;3.500,00;2.485,00;0,71
2007;FORTUL;991,00;777,00;465,00;0,60
2007;SARAVENA;3.014,00;2.535,00;1.774,00;0,70
2007;TAME;2.468,00;2.170,00;1.550,00;0,71
2008;ARAUCA;537,00;460,00;318,00;0,69
2008;ARAUQUITA;5.806,00;4.150,00;3.160,00;0,76
2008;FORTUL;994,00;646,00;480,00;0,74
2008;SARAVENA;3.197,00;2.590,00;1.870,00;0,72
2008;TAME;2.543,00;2.190,00;1.441,00;0,66
2009;ARAUCA;600,00;414,00;289,80;0,70
2009;ARAUQUITA;5.956,00;5.200,00;3.692,00;0,71
2009;FORTUL;1.032,00;800,00;550,00;0,69
2009;SARAVENA;3.292,00;2.650,00;1.800,00;0,68
2009;TAME;2.737,00;2.300,00;1.495,00;0,65
2010;ARAUCA;680,00;460,00;322,00;0,70
2010;ARAUQUITA;6.096,00;5.500,00;3.805,00;0,69
2010;FORTUL;1.182,00;900,00;620,00;0,69
2010;SARAVENA;3.542,00;3.000,00;2.100,00;0,70
2010;TAME;2.837,00;2.100,00;1.300,00;0,62
2011;ARAUCA;820,00;600,00;420,00;0,70
2011;ARAUQUITA;6.600,00;6.150,00;4.305,00;0,70
2011;FORTUL;1.322,00;1.000,00;800,00;0,80
2011;SARAVENA;3.762,00;3.150,00;2.520,00;0,80
2011;TAME;3.137,00;2.700,00;2.160,00;0,80
2012;ARAUCA;880,00;650,00;390,00;0,60
2012;ARAUQUITA;6.650,00;5.400,00;3.240,00;0,60
2012;FORTUL;1.378,00;1.000,00;600,00;0,60
2012;SARAVENA;3.827,00;3.500,00;2.100,00;0,60
2012;TAME;3.297,00;2.800,00;1.680,00;0,60
2013;ARAUCA;920,00;700,00;420,00;0,60
2013;ARAUQUITA;6.100,00;4.950,00;2.970,00;0,60
2013;FORTUL;1.337,00;970,00;582,00;0,60
2013;SARAVENA;3.902,00;3.300,00;1.980,00;0,60
2013;TAME;3.337,00;2.700,00;1.620,00;0,60
2014;ARAUCA;775,00;636,00;381,60;0,60
2014;ARAUQUITA;5.933,00;4.891,00;2.934,60;0,60
2014;CRAVO NORTE;8,00;0,00;0,00;0,00
2014;FORTUL;1.337,50;1.054,00;632,40;0,60
2014;PUERTO RONDON;48,00;0,00;0,00;0,00
2014;SARAVENA;3.622,50;2.929,00;1.757,40;0,60
2014;TAME;3.335,00;2.635,00;1.581,00;0,60
2015;ARAUCA;896,00;578,00;346,80;0,60
2015;ARAUQUITA;6.226,00;4.980,00;2.988,00;0,60
2015;CRAVO NORTE;8,00;0,00;0,00;0,00
2015;FORTUL;1.488,00;1.102,00;661,20;0,60
2015;PUERTO RONDON;48,00;0,00;0,00;0,00
2015;SARAVENA;3.922,00;2.996,00;1.797,60;0,60
2015;TAME;3.710,00;2.763,00;1.657,80;0,60
2016;ARAUCA;1.147,00;975,00;585,00;0,60
2016;ARAUQUITA;6.690,00;4.990,00;2.994,00;0,60
2016;CRAVO NORTE;8,00;0,00;0,00;0,00
2016;FORTUL;2.224,00;1.102,00;661,20;0,60
2016;PUERTO RONDON;48,00;0,00;0,00;0,00
2016;SARAVENA;4.022,00;2.996,00;1.797,60;0,60
2016;TAME;3.854,00;3.000,00;1.800,00;0,60
2017;ARAUCA;851,50;579,50;347,70;0,60
2017;ARAUQUITA;6.820,00;6.167,00;3.700,20;0,60
2017;CRAVO NORTE;8,00;8,00;4,80;0,60
2017;FORTUL;2.254,50;2.194,00;1.316,40;0,60
2017;PUERTO RONDON;47,30;47,30;28,38;0,60
2017;SARAVENA;4.106,00;3.880,00;2.328,00;0,60
2017;TAME;3.992,50;3.670,00;2.202,00;0,60
2018;ARAUCA;882,00;830,50;498,30;0,60
2018;ARAUQUITA;6.905,00;6.675,00;4.005,00;0,60
2018;CRAVO NORTE;11,00;8,00;4,80;0,60
2018;FORTUL;2.305,00;2.204,00;1.322,40;0,60
2018;PUERTO RONDON;53,00;47,30;28,38;0,60
2018;SARAVENA;4.156,00;3.950,00;2.370,00;0,60
2018;TAME;4.093,00;3.814,00;2.288,40;0,60
2019;ARAUCA;758,00;508,00;416,56;0,82
2019;ARAUQUITA;7.075,00;6.934,00;4.160,40;0,60
2019;CRAVO NORTE;15,00;8,00;4,80;0,60
2019;FORTUL;2.340,00;2.260,00;1.808,00;0,80
2019;PUERTO RONDON;80,00;66,00;53,00;0,80
2019;SARAVENA;4.171,00;4.061,00;3.248,80;0,80
2019;TAME;4.257,50;3.924,00;3.138,00;0,80
2020;ARAUCA;793,00;643,00;514,40;0,80
2020;ARAUQUITA;7.200,00;7.075,00;4.245,00;0,60
2020;CRAVO NORTE;14,00;12,00;7,20;0,60
2020;FORTUL;2.370,00;2.320,00;1.624,00;0,70
2020;PUERTO RONDON;90,00;80,00;64,00;0,80
2020;SARAVENA;4.306,00;4.156,00;3.324,80;0,80
2020;TAME;4.407,50;4.407,50;1.260,00;0,29
2021;ARAUCA;793,00;789,00;631,20;0,80
2021;ARAUQUITA;7.300,00;7.075,00;4.245,00;0,60
2021;CRAVO NORTE;14,00;14,00;8,40;0,60
2021;FORTUL;2.372,00;2.370,00;1.777,50;0,75
2021;PUERTO RONDON;90,00;90,00;72,00;0,80
2021;SARAVENA;4.410,00;4.266,00;3.412,80;0,80
2021;TAME;4.407,50;4.207,50;1.262,25;0,30
