formatted_date;temperature_2m; temperature_2m_min; temperature_2m_max;total_precipitation_sum;surface_pressure
2/01/1950;293,5629874;290,673591;297,771891;0,004426907;90152,62377
3/01/1950;293,2209765;290,568813;296,7969383;0,014945141;90177,40238
4/01/1950;292,8018563;291,0596655;295,527082;0,016078144;90336,85768
5/01/1950;292,5509623;290,2829853;296,1086956;0,005558255;90427,17893
6/01/1950;292,9135972;290,6088329;296,7128157;0,005064785;90477,65106
7/01/1950;292,4765296;289,7491967;296,2136822;0,007123081;90474,77392
8/01/1950;292,4134115;289,6634778;296,0088832;0,002801049;90500,76539
9/01/1950;292,7305254;289,5190467;296,906256;0,001018144;90448,77623
10/01/1950;293,2766944;290,4446456;297,3490107;0,001825032;90490,59123
11/01/1950;293,2996581;290,7191451;297,0194332;0,008654918;90535,96404
12/01/1950;292,0958446;289,8090672;295,1506888;0,020778525;90548,29713
13/01/1950;292,0638731;288,7614603;296,5959221;0,008115019;90542,56958
14/01/1950;292,2643382;289,0880019;296,5975018;0,007591963;90515,43103
15/01/1950;292,133649;289,2721593;296,1399279;0,008539286;90431,71249
16/01/1950;292,2234748;289,4436865;295,7945993;0,0077482;90500,22927
17/01/1950;292,5905333;289,6334506;296,7516229;0,003090059;90456,46059
18/01/1950;292,9006343;290,1109903;296,9237031;0,003237657;90273,08194
19/01/1950;292,9545244;290,3034804;296,830346;0,005627506;90278,63685
20/01/1950;292,9663676;290,2250801;296,8407956;0,003464031;90404,70215
21/01/1950;292,8321807;290,7501346;295,6502193;0,00729178;90442,5404
22/01/1950;292,4387455;290,4391131;295,390967;0,008690415;90437,66669
23/01/1950;292,3966605;289,9046482;296,1693026;0,005779583;90418,64495
24/01/1950;292,2879096;289,2850075;296,6375132;0,004901755;90452,3263
25/01/1950;292,6366774;289,7121602;296,7429268;0,007473002;90588,58587
26/01/1950;292,472048;288,8454483;297,0662338;0,002375234;90546,43561
27/01/1950;292,7267834;289,917413;296,6456873;0,00847381;90466,12133
28/01/1950;292,1830356;290,1079161;295,4837819;0,013954992;90471,85644
29/01/1950;291,8505657;289,9020878;295,242536;0,011081617;90456,04917
30/01/1950;291,9532736;289,6736986;295,8032011;0,00923021;90464,19771
31/01/1950;292,3604687;289,6403103;296,3825022;0,008969197;90483,6455
1/02/1950;292,0713575;289,6443434;295,6827741;0,007758065;90483,40767
2/02/1950;292,0551219;289,1024473;296,1832864;0,006242663;90517,36187
3/02/1950;292,5674944;289,9774684;296,5753644;0,007839109;90536,65211
4/02/1950;292,8169871;290,3016954;296,5728235;0,008121683;90566,92127
5/02/1950;292,5098664;290,3138768;295,7916058;0,01167531;90638,65139
6/02/1950;292,5606821;289,8774546;296,8285136;0,006117578;90629,81769
7/02/1950;292,5968517;289,8829002;296,5135396;0,009035021;90529,57009
8/02/1950;292,6502507;290,1259047;296,6265157;0,010982153;90523,21973
9/02/1950;292,4639502;289,7679832;296,253238;0,008821898;90484,32752
10/02/1950;292,4280919;290,2896805;296,0419239;0,011492668;90448,90931
11/02/1950;292,5282772;290,5083897;295,7826486;0,017851057;90386,07463
12/02/1950;292,4401775;290,6101654;295,5013397;0,016100192;90294,4262
13/02/1950;292,4518679;290,5905151;295,5843939;0,020149134;90307,58309
14/02/1950;292,6225094;290,7856389;295,8879239;0,022307588;90364,45639
15/02/1950;292,5596396;290,882405;295,8271423;0,028044795;90382,98134
16/02/1950;292,9209961;290,0908522;297,3476823;0,011160041;90355,21915
17/02/1950;293,37612;290,7818042;297,4370335;0,009875569;90328,5396
18/02/1950;293,23125;290,9875457;297,273994;0,01163911;90415,27405
19/02/1950;293,2968316;290,6621366;297,8149326;0,009287726;90442,72375
20/02/1950;292,9648698;290,6300602;297,2205929;0,015339287;90441,5616
21/02/1950;292,8142301;290,1020863;296,6721541;0,011516768;90416,41282
22/02/1950;293,5662917;289,8800309;298,5254963;0,005696905;90357,09231
23/02/1950;293,5490044;291,1352397;297,332698;0,010147362;90372,29828
24/02/1950;293,4388835;290,7637259;297,8254315;0,013465774;90434,51136
25/02/1950;293,4239893;290,3843055;297,7256141;0,012576035;90400,56937
26/02/1950;293,2191702;290,8061818;297,0468666;0,011819074;90376,15172
27/02/1950;292,9521086;290,7488754;296,6794296;0,013927677;90429,16555
28/02/1950;293,252463;290,8722579;297,3020056;0,011277446;90517,08386
1/03/1950;293,1839653;290,6334604;297,4546535;0,013655352;90521,83443
2/03/1950;292,9145671;290,9000643;296,4938809;0,016668999;90536,13637
3/03/1950;292,6697628;289,6364023;297,0116969;0,009420603;90506,58782
4/03/1950;293,0731089;289,7056362;297,6996821;0,003999986;90467,53479
5/03/1950;293,4637163;290,8457569;297,4163031;0,007786557;90434,05569
6/03/1950;292,9776455;290,8383032;296,146176;0,01513448;90422,68572
7/03/1950;292,6719501;290,7804079;296,0132873;0,0124575;90473,04617
8/03/1950;293,0901469;290,4578117;297,7356911;0,009992845;90521,43126
9/03/1950;293,1920921;290,1976298;297,3891649;0,005765275;90480,42693
10/03/1950;293,2391545;290,3111745;297,578639;0,007948745;90358,09396
11/03/1950;293,1439659;290,695982;297,0677304;0,016449797;90429,10143
12/03/1950;293,5566263;290,7683854;298,3067859;0,005691443;90518,2318
13/03/1950;293,4703835;290,8860642;297,8659855;0,007758972;90513,72191
14/03/1950;293,1899688;290,9454075;297,1490423;0,013258024;90532,18387
15/03/1950;292,996953;290,7357844;296,6996891;0,020328591;90533,8326
16/03/1950;292,6870364;290,7555233;296,051674;0,015193027;90617,3944
17/03/1950;292,595534;290,3342626;296,8758929;0,013705332;90625,07271
18/03/1950;292,9939701;289,4216182;297,9493572;0,008682737;90538,24777
19/03/1950;292,9356376;290,699116;296,5062288;0,01786279;90650,83851
20/03/1950;292,6337146;289,8491454;297,126995;0,011961473;90710,13385
21/03/1950;292,9127342;290,2677938;297,4648485;0,012768294;90639,18796
22/03/1950;292,7350055;289,9671138;297,0568147;0,010157108;90533,21855
23/03/1950;293,0028481;290,4454338;297,2180194;0,013316322;90540,07597
24/03/1950;293,1072019;290,3000769;297,638889;0,011663953;90481,41183
25/03/1950;293,3612061;290,6614186;297,7036329;0,013611892;90438,35038
26/03/1950;293,1096784;291,2999954;296,4723159;0,022850195;90386,63706
27/03/1950;293,2784826;290,5986417;297,6235552;0,014442615;90342,51053
28/03/1950;293,4957258;290,3361199;298,1704086;0,006242281;90331,13851
29/03/1950;293,4122727;290,6169769;297,4188809;0,006096085;90337,88268
30/03/1950;293,1561722;289,7193819;297,5656667;0,005692544;90395,16598
31/03/1950;293,2046001;290,357278;297,4249294;0,009919878;90371,8469
1/04/1950;293,318832;290,5999544;297,9452712;0,009733272;90326,17811
2/04/1950;293,0355105;290,2307989;297,4404983;0,015715451;90295,96594
3/04/1950;292,9468355;290,816419;296,7681652;0,019505048;90397,51585
4/04/1950;293,1556667;290,7173642;297,5983466;0,014666216;90480,30331
5/04/1950;293,3043666;290,7643228;297,5439868;0,013291495;90460,74661
6/04/1950;293,0109286;290,7236192;296,8919003;0,017438479;90476,66952
7/04/1950;292,6625528;290,8544382;296,0966674;0,018743859;90567,7527
8/04/1950;293,1313351;290,4201386;297,449991;0,010771324;90506,06631
9/04/1950;293,4383024;291,2378484;297,5725761;0,016398726;90456,87921
10/04/1950;293,2990936;290,3023673;297,6597546;0,018478213;90443,18943
11/04/1950;292,9911559;290,6471781;296,5662007;0,021696809;90427,77562
12/04/1950;293,0536259;290,4710292;297,2718529;0,013835303;90424,57729
13/04/1950;293,3039119;290,6083634;298,0563827;0,012937835;90529,76265
14/04/1950;293,2883178;290,8422141;297,2171534;0,01955115;90541,18315
15/04/1950;293,3095951;290,9359575;296,9458433;0,016518093;90471,60231
16/04/1950;293,2380545;291,1076108;297,0871994;0,016078027;90432,1453
17/04/1950;293,2522987;291,102421;296,9257386;0,013238878;90319,50553
18/04/1950;293,7084149;291,5114689;297,5968027;0,006063708;90354,72431
19/04/1950;293,6880698;291,2014202;297,9804033;0,00792302;90408,59577
20/04/1950;293,296542;291,227916;296,8378209;0,015145265;90392,78357
21/04/1950;292,5724543;290,967131;295,3407916;0,0181217;90447,30075
22/04/1950;292,5227908;290,5386904;295,6869901;0,015918765;90458,47298
23/04/1950;292,8679229;290,2268239;296,5757818;0,009886099;90473,58473
24/04/1950;293,1675655;290,6077713;296,9742477;0,010546668;90405,77652
25/04/1950;292,841562;290,5446013;296,7069565;0,013355189;90396,26232
26/04/1950;293,1430483;290,5361431;297,5195653;0,019375561;90407,59514
27/04/1950;293,093838;290,3156479;297,6740839;0,025904874;90413,02238
28/04/1950;292,9370654;291,2246841;296,1385927;0,032653829;90374,22702
29/04/1950;292,8565289;290,797517;296,6623874;0,024517151;90371,53393
30/04/1950;292,7910325;290,7748177;296,218604;0,020886151;90387,2779
1/05/1950;292,6239685;290,9826529;295,715214;0,026958054;90464,58418
2/05/1950;293,2482146;290,3467751;297,6214091;0,008025715;90363,89734
3/05/1950;293,0139171;290,8210484;296,3259553;0,024562717;90352,2342
4/05/1950;292,6842124;291,0242959;295,31723;0,035875503;90329,5971
5/05/1950;292,8726954;290,8507334;296,7699254;0,032623685;90326,70749
6/05/1950;293,0775187;291,1917392;296,6520604;0,022667412;90353,56327
7/05/1950;293,1935342;291,0567902;296,75722;0,021723222;90413,76831
8/05/1950;293,2112279;291,3465658;296,6264424;0,029767554;90392,45399
9/05/1950;292,5915772;291,3203806;294,8415339;0,049651655;90398,00429
10/05/1950;293,0899793;290,6672087;296,9259236;0,014620832;90374,50567
11/05/1950;293,1317101;290,6557552;296,8420026;0,023285998;90416,15618
12/05/1950;292,4807961;290,9256242;295,0382633;0,039214152;90538,51309
13/05/1950;292,1418894;290,3643676;295,1867872;0,024762888;90625,00469
14/05/1950;292,5689477;290,1110703;296,6948888;0,013324756;90553,07447
15/05/1950;292,5676181;289,7834587;296,5013377;0,013372199;90508,1462
16/05/1950;293,11202;290,600457;297,5369641;0,018295839;90552,12756
17/05/1950;292,8650018;290,7805708;296,3474312;0,019312476;90568,48814
