formatted_date;mean_2m_air_temperature; minimum_2m_air_temperature; maximum_2m_air_temperature;total_precipitation;surface_pressure
2/01/1979;295,1895053;291,6922581;299,7867854;0,002011615;90996,92719
3/01/1979;295,4292007;291,7356642;300,2461377;0,001383687;91091,74374
4/01/1979;295,3049421;291,0763511;300,0827899;0,001293051;91108,73018
5/01/1979;295,4523874;291,9472431;300,0416603;0,002675397;91139,89296
6/01/1979;294,7177614;291,0493371;298,8924435;0,005929779;91149,07551
7/01/1979;294,6607697;291,2020364;299,039544;0,001774646;91142,2882
8/01/1979;294,8203057;291,563216;298,5617641;0,003115468;91209,73896
9/01/1979;294,7590837;291,2191049;299,1472991;0,001456099;91202,16724
10/01/1979;294,6126885;291,1612978;298,7818489;0,001532631;91160,22746
11/01/1979;295,0222653;291,4592022;299,4900544;0,002446178;91035,41393
12/01/1979;294,9126835;291,6037438;298,3891714;0,002694467;91013,92385
13/01/1979;295,1252687;291,5721575;299,2940601;0,002148174;90975,18178
14/01/1979;295,1071594;292,0540836;299,0863886;0,003830322;91100,90433
15/01/1979;295,2378745;291,3925892;299,7051107;0,002734511;91188,63493
16/01/1979;294,7260437;290,8486237;299,4026868;0,007089668;91146,34095
17/01/1979;295,1080533;290,8405622;300,701864;0,001405417;91100,98242
18/01/1979;295,3390554;290,7626227;300,0607515;0,001033964;91011,40584
19/01/1979;295,3713864;291,6391808;299,8060845;0,003431474;91060,34346
20/01/1979;295,3214597;291,3342935;299,922564;0,000855733;90952,9982
21/01/1979;295,5184227;291,9793408;299,9555222;0,006118578;90989,11511
22/01/1979;294,5394168;291,9893664;297,5003119;0,010409432;91233,99229
23/01/1979;294,5128876;291,1495269;299,5996777;0,003462096;91117,45879
24/01/1979;295,403827;291,5316793;300,0498792;0,002157109;91043,73034
25/01/1979;295,2138081;291,8641178;299,3976942;0,002275408;91007,78337
26/01/1979;295,3927553;292,0678755;300,0529218;0,004132597;91065,5331
27/01/1979;294,8885456;291,9545884;298,7713411;0,007937932;91070,34268
28/01/1979;295,0875564;292,0249522;299,2445751;0,011225423;91098,80891
29/01/1979;295,3793273;292,0047854;299,7120665;0,0047117;91123,37303
30/01/1979;295,2590626;291,8702342;299,4987484;0,003112132;91078,72086
31/01/1979;295,4564363;291,6993396;300,2692268;0,003498378;91046,83012
1/02/1979;295,8972463;292,0954089;300,6552784;0,005366643;91066,106
2/02/1979;295,5715653;292,1642334;299,7644566;0,001851041;91067,11544
3/02/1979;296,0655835;290,9240926;301,6671061;0,00122113;91006,44338
4/02/1979;296,1283342;291,7115545;301,1676203;0,002678961;91019,62749
5/02/1979;295,7315357;291,717292;300,6962628;0,002138303;91018,90744
6/02/1979;295,4383558;291,5356849;300,2644025;0,002864562;91002,81304
7/02/1979;296,0951565;292,223711;301,2360111;0,001915566;91049,87644
8/02/1979;295,8975657;292,0670364;300,9695747;0,00284853;91043,19615
9/02/1979;295,4590723;292,4872226;298,9629569;0,005632144;91067,13249
10/02/1979;295,5551835;292,1743881;300,5284664;0,005006606;91154,66931
11/02/1979;295,8926147;292,1926765;301,0732934;0,005274536;91176,75556
12/02/1979;295,8931454;292,0720353;301,2644485;0,004557085;91086,87411
13/02/1979;295,3380636;292,2112877;299,6126073;0,009562507;91089,24849
14/02/1979;294,9743237;292,07091;298,9695994;0,020322532;91222,07742
15/02/1979;295,0372253;291,7319593;299,0782165;0,007854447;91202,46955
16/02/1979;295,5552982;291,9081961;300,1016423;0,005179488;91080,15087
17/02/1979;295,493387;292,0797677;299,987824;0,00662809;91006,47524
18/02/1979;295,54893;292,3177664;299,948979;0,004065132;90959,97127
19/02/1979;296,0539879;292,4142829;301,1692137;0,003787285;90960,65759
20/02/1979;296,0834463;292,0578297;300,8427384;0,001605354;90992,32675
21/02/1979;296,5883325;292,5316534;301,6540884;0,001689158;90928,88171
22/02/1979;296,2660498;292,9426783;300,6656484;0,007963932;90997,92171
23/02/1979;295,3484914;292,0448573;299,4931471;0,016175394;91093,93528
24/02/1979;295,4485754;291,9961643;300,2571605;0,011504383;91099,33066
25/02/1979;295,0322877;291,857516;299,2013997;0,013151443;91178,49139
26/02/1979;294,3896697;291,5190198;298,1311502;0,014612671;91147,09128
27/02/1979;294,7478912;291,1716096;300,1559784;0,006824433;91139,03948
28/02/1979;295,2357884;291,7774341;299,8370949;0,005804554;91051,69207
1/03/1979;295,2744632;291,5019548;299,0475487;0,004915779;91180,54079
2/03/1979;295,4087248;291,8289457;300,4797283;0,00457709;91195,39332
3/03/1979;295,0411828;291,6219672;299,4522382;0,010802168;91077,99424
4/03/1979;295,0452818;292,1354906;298,708483;0,009855419;91039,57968
5/03/1979;295,053833;291,6440307;299,659129;0,015265359;91101,44294
6/03/1979;294,5686945;291,3474291;298,5179933;0,01109787;91106,34589
7/03/1979;294,0606223;292,049174;297,1780237;0,026226636;91134,32085
8/03/1979;293,9311165;291,4244904;298,0568951;0,01603882;91177,69691
9/03/1979;295,2131395;291,5636984;300,2558712;0,012570638;91202,55933
10/03/1979;295,9288849;291,2963821;301,5135532;0,003050825;91022,78651
11/03/1979;296,1965071;292,361744;301,4494629;0,003167763;90915,6777
12/03/1979;296,3643135;292,5248566;300,8628477;0,004140474;91006,7087
13/03/1979;295,8411495;292,2032695;300,2512874;0,003739427;91085,85504
14/03/1979;296,1810044;292,6309111;301,1656593;0,003609635;91030,79686
15/03/1979;296,3049376;292,7723221;300,627927;0,005106557;91014,46982
16/03/1979;296,3574961;292,5824665;301,1869587;0,005578549;90955,1938
17/03/1979;296,331936;292,7999096;301,2110818;0,005310885;90937,36133
18/03/1979;295,9923027;293,1591519;300,4727327;0,00642368;90945,14703
19/03/1979;295,1712181;292,2748626;298,8443102;0,015054623;91025,92648
20/03/1979;294,968717;291,7223401;298,8351989;0,005074139;91117,87547
21/03/1979;294,884175;292,2362437;298,4883104;0,016420393;91189,28141
22/03/1979;295,4848543;292,200849;299,6381105;0,006827939;91215,27546
23/03/1979;295,905835;292,3953606;300,1340653;0,006329914;91192,03258
24/03/1979;295,9123272;292,6603983;300,2226175;0,007134177;91220,21571
25/03/1979;294,84726;291,728433;299,3483119;0,014928514;91278,97381
26/03/1979;294,5590576;291,6849173;297,8788071;0,011032093;91296,23372
27/03/1979;294,9802846;291,1330275;299,635343;0,009381376;91217,88367
28/03/1979;295,5476957;291,4017296;301,1570635;0,008754102;91056,39227
29/03/1979;295,037278;292,0958592;299,4486583;0,007891558;91001,49304
30/03/1979;295,2685439;292,0583038;300,0587447;0,005933678;90967,06845
31/03/1979;295,596855;292,0098526;300,1942273;0,003867406;90905,48193
1/04/1979;295,8078378;292,5951761;299,304018;0,020969696;90866,08921
2/04/1979;295,5939491;291,5523673;300,9590523;0,009796163;90912,93982
3/04/1979;295,6498585;292,4770805;299,5542926;0,022344262;90992,25011
4/04/1979;295,0810906;292,1493508;299,4484892;0,01555228;91108,55607
5/04/1979;295,4985304;292,2080739;300,7296823;0,014341744;91186,5375
6/04/1979;295,1362058;291,9652431;300,0901457;0,025031592;91210,19148
7/04/1979;295,7545077;292,3589383;301,3796313;0,011778149;91124,95736
8/04/1979;295,4805375;292,6355144;300,7361247;0,016963156;91081,04443
9/04/1979;295,8624698;292,1543334;301,5868513;0,012444952;90963,67213
10/04/1979;296,5448907;292,7370148;301,9991747;0,008834641;90890,90662
11/04/1979;296,9789642;292,5797457;301,9077798;0,007109714;90834,02022
12/04/1979;297,2894138;293,0929233;302,3407466;0,006057157;90736,61591
13/04/1979;297,1433585;293,2262805;302,3365642;0,01196329;90682,68381
14/04/1979;296,1696077;292,4307271;301,7552732;0,016588911;90807,89583
15/04/1979;295,1249948;292,8116618;298,0988052;0,020525846;90929,30541
16/04/1979;296,0072876;292,7971128;300,1042228;0,020418375;91056,31541
17/04/1979;295,562385;293,0072861;298,8715973;0,020925041;91175,8864
18/04/1979;295,8940058;292,6172647;300,837375;0,014800061;91203,16927
19/04/1979;295,3598185;291,9830162;299,9050425;0,008917278;91131,26474
20/04/1979;295,5819393;292,5709842;300,0229713;0,010919805;91060,42108
21/04/1979;295,5708693;292,7398772;299,4774182;0,019920084;91039,52562
22/04/1979;294,5982282;292,5432282;297,3480076;0,037666025;91118,7116
23/04/1979;295,4244846;292,1312932;300,351139;0,022270062;91125,39851
24/04/1979;296,1094197;292,6053495;301,3453478;0,010339691;91102,91684
25/04/1979;295,8830871;292,6592238;300,2933763;0,019169067;91095,93216
26/04/1979;294,400925;292,5950071;296,829692;0,047435623;91158,92456
27/04/1979;294,4752949;292,054731;298,7423901;0,046075561;91208,42016
28/04/1979;293,8310069;291,6746122;296,7262279;0,022741296;91263,00713
29/04/1979;295,2241478;291,716484;300,2510704;0,008807711;91209,86739
30/04/1979;295,9263599;292,164357;301,2096912;0,008520666;91148,36703
1/05/1979;295,7640983;292,2184032;300,5599309;0,010380877;91104,70705
2/05/1979;295,0549086;292,2608338;298,8311913;0,011345968;91122,8449
3/05/1979;295,6849495;292,3674023;300,3623689;0,01420421;91150,3932
4/05/1979;296,2744466;292,6114269;301,5749017;0,01035546;91093,4889
5/05/1979;296,0950801;292,4365864;301,4659248;0,014886693;91049,84969
6/05/1979;296,5075703;292,5134312;302,0939105;0,006417015;90961,35813
7/05/1979;296,8839724;292,6678072;302,4960252;0,008853711;90990,21323
8/05/1979;296,2805475;292,3958512;301,3460406;0,009715023;91030,76909
9/05/1979;296,0713437;292,4280442;301,0904492;0,007621398;91015,06709
10/05/1979;296,6777422;292,3985859;302,4732165;0,006664671;90831,70855
11/05/1979;295,6740182;292,8263329;299,5810389;0,019864723;90875,89418
12/05/1979;294,8609209;292,5333786;298,664722;0,014000795;91024,40953
13/05/1979;295,0104484;292,4504077;298,9060982;0,012534113;91105,02006
14/05/1979;295,5147966;292,3337975;299,7325206;0,00973355;91080,692
