Date;Municipio;ndvi_mean;;;;;
18/02/2000;ARAUCA;3882,042639;;;;;
18/02/2000;ARAUQUITA;5782,23066;;;;;
18/02/2000;CRAVO NORTE;3967,883047;;;;;
18/02/2000;FORTUL;1721,165661;;;;;
18/02/2000;PUERTO RONDON;4466,225785;;;;;
18/02/2000;SARAVENA;2779,577206;;;;;
18/02/2000;TAME;3159,262152;;;;;
5/03/2000;ARAUCA;3782,561923;;;;;
5/03/2000;ARAUQUITA;6298,14184;;;;;
5/03/2000;CRAVO NORTE;3912,608889;;;;;
5/03/2000;FORTUL;4817,980138;;;;;
5/03/2000;PUERTO RONDON;4231,569667;;;;;
5/03/2000;SARAVENA;4477,737324;;;;;
5/03/2000;TAME;4926,569701;;;;;
21/03/2000;ARAUCA;4307,96629;;;;;
21/03/2000;ARAUQUITA;5780,881669;;;;;
21/03/2000;CRAVO NORTE;4246,932644;;;;;
21/03/2000;FORTUL;2735,498852;;;;;
21/03/2000;PUERTO RONDON;4701,059945;;;;;
21/03/2000;SARAVENA;4882,303412;;;;;
21/03/2000;TAME;4147,815457;;;;;
6/04/2000;ARAUCA;5664,352267;;;;;
6/04/2000;ARAUQUITA;6446,342118;;;;;
6/04/2000;CRAVO NORTE;5430,425274;;;;;
6/04/2000;FORTUL;4596,88936;;;;;
6/04/2000;PUERTO RONDON;5776,897393;;;;;
6/04/2000;SARAVENA;6252,59656;;;;;
6/04/2000;TAME;5008,382169;;;;;
22/04/2000;ARAUCA;6451,310379;;;;;
22/04/2000;ARAUQUITA;6756,938443;;;;;
22/04/2000;CRAVO NORTE;5536,723962;;;;;
22/04/2000;FORTUL;1856,590693;;;;;
22/04/2000;PUERTO RONDON;6493,177412;;;;;
22/04/2000;SARAVENA;1581,775023;;;;;
22/04/2000;TAME;3924,53684;;;;;
8/05/2000;ARAUCA;6717,875337;;;;;
8/05/2000;ARAUQUITA;7543,532246;;;;;
8/05/2000;CRAVO NORTE;5745,023702;;;;;
8/05/2000;FORTUL;4564,222404;;;;;
8/05/2000;PUERTO RONDON;6829,148044;;;;;
8/05/2000;SARAVENA;6334,225587;;;;;
8/05/2000;TAME;5438,617308;;;;;
24/05/2000;ARAUCA;6787,094765;;;;;
24/05/2000;ARAUQUITA;7562,065758;;;;;
24/05/2000;CRAVO NORTE;5569,142799;;;;;
24/05/2000;FORTUL;4503,006412;;;;;
24/05/2000;PUERTO RONDON;6939,308393;;;;;
24/05/2000;SARAVENA;6522,776666;;;;;
24/05/2000;TAME;5582,094069;;;;;
9/06/2000;ARAUCA;5871,440348;;;;;
9/06/2000;ARAUQUITA;6587,563809;;;;;
9/06/2000;CRAVO NORTE;3851,539549;;;;;
9/06/2000;FORTUL;4020,700874;;;;;
9/06/2000;PUERTO RONDON;6157,86057;;;;;
9/06/2000;SARAVENA;6078,662254;;;;;
9/06/2000;TAME;5604,912186;;;;;
25/06/2000;ARAUCA;6414,052106;;;;;
25/06/2000;ARAUQUITA;7352,642547;;;;;
25/06/2000;CRAVO NORTE;5603,560073;;;;;
25/06/2000;FORTUL;5158,457407;;;;;
25/06/2000;PUERTO RONDON;6259,742195;;;;;
